RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           47     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.098D+01  9.625D+09
    1    2    47    47  ---    0   1.0D+00   1.4D+02  3.438D-02  4.169D+06
    2   38     1     0  ---   15   4.6D+02   1.0D+02  1.568D+01  7.321D+04
    3   42    45    44  bnd    3   7.6D-03   8.0D-01  2.453D+01  1.149D+04
    4   43     1     0  con    0   1.0D+00   2.0D-02  2.450D+01  1.143D+04
    5   44     1     0  con    0   1.0D+00   2.4D-02  2.446D+01  1.138D+04
    6   45     1     0  con    0   1.0D+00   8.1D-02  1.559D+01  1.126D+04
    7   46     1     0  con    0   1.0D+00   2.0D-01  1.564D+01  1.102D+04
    8   47     1     0  con    0   1.0D+00   3.0D-01  1.570D+01  1.068D+04
    9   48     1     0  con    0   1.0D+00   3.9D-01  1.578D+01  1.007D+04
   10   49     1     0  con    0   1.0D+00   5.6D-01  1.588D+01  8.870D+03
   11   50     1     0  con    0   1.0D+00   5.5D-01  1.596D+01  7.937D+03
   12   52     1     0  con    1   4.1D-01   4.2D-01  1.603D+01  7.567D+03
   13   53     1     0  con    0   1.0D+00   1.2D+00  1.620D+01  6.623D+03
   14   54     1     0  con    0   1.0D+00   3.5D-01  2.577D+01  6.238D+03
   15   55     1     0  con    0   1.0D+00   9.8D-01  1.634D+01  5.699D+03
   16   56     1     0  con    0   1.0D+00   1.1D-01  1.635D+01  5.556D+03
   17   57     1     0  con    0   1.0D+00   1.4D+00  1.647D+01  5.313D+03
   18   58     1     0  con    0   1.0D+00   1.3D-01  2.411D+01  5.062D+03
   19   59     1     0  con    0   1.0D+00   5.8D-01  1.650D+01  4.905D+03
   20   61     1     0  con    1   2.9D-01   6.3D-01  1.654D+01  4.798D+03
   21   62     1     0  con    0   1.0D+00   6.9D-01  1.659D+01  4.703D+03
   22   63     1     0  con    0   1.0D+00   5.8D-01  1.662D+01  4.555D+03
   23   64     1     0  con    0   1.0D+00   9.7D-01  1.668D+01  4.464D+03
   24   65     1     0  con    0   1.0D+00   7.6D-01  1.672D+01  4.349D+03
   25   67     1     0  con    1   4.7D-01   6.9D-01  1.676D+01  4.313D+03
   26   68     1     0  con    0   1.0D+00   7.8D-01  1.679D+01  4.260D+03
   27   69     1     0  con    0   1.0D+00   5.1D-01  1.686D+01  4.196D+03
   28   71     1     0  con    1   3.2D-01   4.8D-01  1.691D+01  4.174D+03
   29   72     1     0  con    0   1.0D+00   5.6D-01  1.698D+01  4.155D+03
   30   73     1     0  con    0   1.0D+00   1.0D-01  1.700D+01  4.127D+03
   31   74     1     0  con    0   1.0D+00   5.0D-01  1.708D+01  4.107D+03
   32   75     1     0  con    0   1.0D+00   1.7D-01  1.712D+01  4.089D+03
   33   77     1     0  con    1   3.7D-01   1.9D-01  1.715D+01  4.082D+03
   34   78     1     0  con    0   1.0D+00   4.1D-01  1.722D+01  4.072D+03
   35   79     1     0  con    0   1.0D+00   1.1D-01  2.393D+01  4.064D+03
   36   80     1     0  con    0   1.0D+00   3.4D-01  1.728D+01  4.059D+03
   37   81     1     0  con    0   1.0D+00   7.6D-02  1.729D+01  4.056D+03
   38   82     1     0  con    0   1.0D+00   3.4D-01  1.734D+01  4.055D+03
   39   83     1     0  con    0   1.0D+00   4.8D-02  2.487D+01  4.053D+03
   40   84     1     0  con    0   1.0D+00   1.1D-01  1.735D+01  4.052D+03
   41   85     1     0  con    0   1.0D+00   1.0D-01  1.736D+01  4.052D+03
   42   86     1     0  con    0   1.0D+00   1.5D-02  1.736D+01  4.052D+03
   43   87     1     0  con    0   1.0D+00   3.8D-02  1.033D+01  4.052D+03
   44   88     1     0  con    0   1.0D+00   8.8D-03  1.262D+01  4.052D+03
   45   89     1     0  con    0   1.0D+00   9.8D-03  1.606D+01  4.052D+03
   46   90     1     0  con    0   1.0D+00   3.0D-02  2.287D+01  4.052D+03
   47   91     1     0  con    0   1.0D+00   4.8D-02  2.364D+01  4.052D+03
   48   92     1     0  con    0   1.0D+00   1.1D-01  2.397D+01  4.052D+03
   49   93     1     0  con    0   1.0D+00   2.8D-01  7.357D+00  4.052D+03
   50   95     1     0  con    1   2.2D-01   1.9D-01  1.737D+01  4.051D+03
   51   97     1     0  con    1   3.7D-01   1.7D-01  1.736D+01  4.051D+03
   52   98     1     0  con    0   1.0D+00   1.4D-01  1.732D+01  4.050D+03
   53   99     1     0  con    0   1.0D+00   2.4D-01  1.731D+01  4.049D+03
   54  100     1     0  con    0   1.0D+00   4.8D-02  1.729D+01  4.048D+03
   55  101     1     0  con    0   1.0D+00   1.0D-01  1.728D+01  4.048D+03
   56  102     1     0  con    0   1.0D+00   3.5D-01  1.726D+01  4.047D+03
   57  103     1     0  con    0   1.0D+00   1.3D-01  2.347D+01  4.046D+03
   58  105     1     0  con    1   4.4D-01   2.0D-01  1.725D+01  4.045D+03
   59  107     1     0  con    1   3.0D-01   8.5D-02  1.724D+01  4.045D+03
   60  108     1     0  con    0   1.0D+00   5.6D-02  1.722D+01  4.044D+03
   61  110     1     0  con    1   1.8D-01   2.4D-01  1.722D+01  4.044D+03
   62  111     1     0  con    0   1.0D+00   8.5D-02  1.720D+01  4.043D+03
   63  113     1     0  con    1   3.0D-01   9.9D-02  1.718D+01  4.042D+03
   64  115     1     0  con    1   4.0D-01   9.9D-02  1.717D+01  4.042D+03
   65  116     1     0  con    0   1.0D+00   2.0D-01  1.715D+01  4.041D+03
   66  117     1     0  con    0   1.0D+00   1.6D-01  1.714D+01  4.040D+03
   67  119     1     0  con    1   2.9D-01   1.4D-01  1.712D+01  4.039D+03
   68  120     1     0  con    0   1.0D+00   2.9D-01  1.709D+01  4.039D+03
   69  121     1     0  con    0   1.0D+00   4.2D-03  1.710D+01  4.038D+03
   70  122     1     0  con    0   1.0D+00   2.2D-01  1.708D+01  4.037D+03
   71  124     1     0  con    1   2.3D-01   1.7D-01  1.706D+01  4.037D+03
   72  125     1     0  con    0   1.0D+00   3.0D-01  1.706D+01  4.036D+03
   73  126     1     0  con    0   1.0D+00   9.3D-02  1.707D+01  4.035D+03
   74  127     1     0  con    0   1.0D+00   3.9D-01  1.710D+01  4.035D+03
   75  128     1     0  con    0   1.0D+00   1.7D-02  1.710D+01  4.034D+03
   76  129     1     0  con    0   1.0D+00   3.8D-01  1.713D+01  4.033D+03
   77  130     1     0  con    0   1.0D+00   2.1D-01  1.714D+01  4.033D+03
   78  131     1     0  con    0   1.0D+00   2.6D-01  2.501D+01  4.032D+03
   79  133     1     0  con    1   2.3D-01   2.8D-01  1.163D+01  4.031D+03
   80  136     1     0  con    2   5.7D-02   1.5D-01  1.719D+01  4.031D+03
   81  137     1     0  con    0   1.0D+00   7.6D-02  1.719D+01  4.031D+03
   82  138     1     0  con    0   1.0D+00   2.7D-01  1.721D+01  4.030D+03
   83  139     1     0  con    0   1.0D+00   1.5D-01  1.721D+01  4.030D+03
   84  140     1     0  con    0   1.0D+00   3.3D-01  1.723D+01  4.029D+03
   85  141     1     0  con    0   1.0D+00   3.2D-01  2.316D+01  4.028D+03
   86  144     1     0  con    2   6.0D-02   1.9D-01  1.725D+01  4.027D+03
   87  146     1     0  con    1   2.5D-01   1.9D-01  1.726D+01  4.027D+03
   88  147     1     0  con    0   1.0D+00   2.3D-01  1.727D+01  4.027D+03
   89  148     1     0  con    0   1.0D+00   2.3D-01  1.727D+01  4.026D+03
   90  149     1     0  con    0   1.0D+00   3.0D-01  1.728D+01  4.025D+03
   91  151     1     0  con    1   1.9D-01   2.1D-01  1.729D+01  4.025D+03
   92  152     1     0  con    0   1.0D+00   4.7D-01  1.730D+01  4.025D+03
   93  153     1     0  con    0   1.0D+00   3.0D-02  1.730D+01  4.024D+03
   94  154     1     0  con    0   1.0D+00   4.0D-01  1.731D+01  4.024D+03
   95  156     1     0  con    1   3.4D-01   2.7D-01  1.732D+01  4.023D+03
